t;x;v
0.40;4.20;-2.00
0.80;2.73;-3.68
1.20;0.82;-4.77
1.60;-1.22;-5.10
2.00;-3.06;-4.61
2.40;-4.42;-3.39
2.80;-5.07;-1.62
3.20;-4.90;0.41
3.60;-3.95;2.37
4.00;-2.37;3.95
4.40;-0.41;4.90
4.80;1.61;5.07
5.20;3.38;4.42
5.60;4.61;3.07
6.00;5.10;1.23
6.40;4.77;-0.81
6.80;3.68;-2.72
7.20;2.00;-4.20
7.60;0.01;-5.00
8.00;-2.00;-5.00
8.40;-3.68;-4.20
8.80;-4.77;-2.73
9.20;-5.10;-0.82
9.60;-4.61;1.22
10.00;-3.39;3.06
10.40;-1.62;4.42
10.80;0.40;5.07
11.20;2.36;4.90
11.60;3.95;3.96
12.00;4.90;2.38
12.40;5.07;0.42
12.80;4.42;-1.61
13.20;3.07;-3.38
13.60;1.23;-4.61
14.00;-0.81;-5.10
14.40;-2.72;-4.77
14.80;-4.19;-3.69
15.20;-5.00;-2.01
15.60;-5.00;-0.01
16.00;-4.21;1.99
16.40;-2.74;3.67
16.80;-0.83;4.77
17.20;1.21;5.10
17.60;3.06;4.62
18.00;4.41;3.39
18.40;5.06;1.63
18.80;4.91;-0.40
19.20;3.96;-2.36
19.60;2.38;-3.94
20.00;0.42;-4.90
