Tiempo;Canal A
(ms);(V)

-50,03185570;-5,80340000
-50,02161570;-5,80340000
-50,01137570;-5,80340000
-50,00113570;-5,80340000
-49,99089570;-5,80340000
-49,98065570;-5,80340000
-49,97041570;-5,80340000
-49,96017570;-5,80340000
-49,94993570;-5,80340000
-49,93969570;-5,80340000
-49,92945570;-5,80340000
-49,91921570;-5,80340000
-49,90897570;-5,80340000
-49,89873570;-5,80340000
-49,88849570;-5,80340000
-49,87825570;-5,80340000
-49,86801570;-5,80340000
-49,85777570;-5,80340000
-49,84753570;-5,80340000
-49,83729570;-5,80340000
-49,82705570;-5,80340000
-49,81681570;-5,80340000
-49,80657570;-5,80340000
-49,79633570;-5,80340000
-49,78609570;-5,80340000
-49,77585570;-5,80340000
-49,76561570;-5,80340000
-49,75537570;-5,80340000
-49,74513570;-5,80340000
-49,73489570;-5,80340000
-49,72465570;-5,80340000
-49,71441570;-5,80340000
-49,70417570;-5,80340000
-49,69393570;-5,80340000
-49,68369570;-5,80340000
-49,67345570;-5,80340000
-49,66321570;-5,80340000
-49,65297570;-5,80340000
-49,64273570;-5,80340000
-49,63249570;-5,80340000
-49,62225570;-5,80340000
-49,61201570;-5,80340000
-49,60177571;-5,80340000
-49,59153571;-5,80340000
-49,58129571;-5,80340000
-49,57105571;-5,80340000
-49,56081571;-5,80340000
-49,55057571;-5,80340000
-49,54033571;-5,80340000
-49,53009571;-5,80340000
-49,51985571;-5,80340000
-49,50961571;-5,80340000
-49,49937571;-5,80340000
-49,48913571;-5,80340000
-49,47889571;-5,80340000
-49,46865571;-5,80340000
-49,45841571;-5,80340000
-49,44817571;-5,80340000
-49,43793571;-5,80340000
-49,42769571;-5,80340000
-49,41745571;-5,80340000
-49,40721571;-5,80340000
-49,39697571;-5,80340000
-49,38673571;-5,80340000
-49,37649571;-5,80340000
-49,36625571;-5,80340000
-49,35601571;-5,80340000
-49,34577571;-5,80340000
-49,33553571;-5,80340000
-49,32529571;-5,80340000
-49,31505571;-5,80340000
-49,30481571;-5,80340000
-49,29457571;-5,80340000
-49,28433571;-5,80340000
-49,27409571;-5,80340000
-49,26385571;-5,80340000
-49,25361571;-5,80340000
-49,24337571;-5,80340000
-49,23313571;-5,80340000
-49,22289571;-5,80340000
-49,21265571;-5,80340000
-49,20241571;-5,80340000
-49,19217571;-5,80340000
-49,18193571;-5,80340000
-49,17169571;-5,80340000
-49,16145571;-5,80340000
-49,15121571;-5,80340000
-49,14097571;-5,80340000
-49,13073571;-5,80340000
-49,12049571;-5,80340000
-49,11025571;-5,80340000
-49,10001571;-5,80340000
-49,08977571;-5,80340000
-49,07953571;-5,80340000
-49,06929571;-5,80340000
-49,05905571;-5,80340000
-49,04881571;-5,80340000
-49,03857571;-5,80340000
-49,02833571;-5,80340000
-49,01809571;-5,80340000
-49,00785571;-5,80340000
-48,99761571;-5,80340000
-48,98737571;-5,80340000
-48,97713571;-5,80340000
-48,96689571;-5,80340000
-48,95665571;-5,80340000
-48,94641571;-5,80340000
-48,93617571;-5,80340000
-48,92593571;-5,80340000
-48,91569571;-5,80340000
