Tiempo;Canal A
(ms);(V)

-500,25743246;4,17920400
-500,17551246;4,22406700
-500,09359246;4,26908200
-500,01167246;4,31409600
-499,92975246;4,31409600
-499,84783246;4,40397400
-499,76591246;4,40397400
-499,68399246;4,44883600
-499,60207246;4,49385100
-499,52015247;4,49385100
-499,43823247;4,49385100
-499,35631247;4,53871300
-499,27439247;4,53871300
-499,19247247;4,53871300
-499,11055247;4,58372700
-499,02863247;4,58372700
-498,94671247;4,58372700
-498,86479247;4,58372700
-498,78287247;4,58372700
-498,70095247;4,58372700
-498,61903247;4,58372700
-498,53711247;4,58372700
-498,45519247;4,58372700
-498,37327247;4,58372700
-498,29135247;4,58372700
-498,20943247;4,58372700
-498,12751247;4,58372700
-498,04559247;4,58372700
-497,96367247;4,53871300
-497,88175248;4,53871300
-497,79983248;4,53871300
-497,71791248;4,49385100
-497,63599248;4,49385100
-497,55407248;4,49385100
-497,47215248;4,49385100
-497,39023248;4,49385100
-497,30831248;4,49385100
-497,22639248;4,49385100
-497,14447248;4,49385100
-497,06255248;4,44883600
-496,98063248;4,44883600
-496,89871248;4,44883600
-496,81679248;4,40397400
-496,73487248;4,40397400
-496,65295248;4,40397400
-496,57103248;4,40397400
-496,48911248;4,40397400
-496,40719248;4,40397400
-496,32527248;4,40397400
-496,24335249;4,40397400
-496,16143249;4,35895900
-496,07951249;4,31409600
-495,99759249;4,31409600
-495,91567249;4,31409600
-495,83375249;4,31409600
-495,75183249;4,31409600
-495,66991249;4,31409600
-495,58799249;4,31409600
-495,50607249;4,31409600
-495,42415249;4,31409600
-495,34223249;4,31409600
-495,26031249;4,31409600
-495,17839249;4,26908200
-495,09647249;4,26908200
-495,01455249;4,22406700
-494,93263249;4,22406700
-494,85071249;4,22406700
-494,76879249;4,22406700
-494,68687249;4,22406700
-494,60495250;4,22406700
-494,52303250;4,22406700
-494,44111250;4,22406700
-494,35919250;4,17920400
-494,27727250;4,13419000
-494,19535250;4,17920400
-494,11343250;4,13419000
-494,03151250;4,13419000
-493,94959250;4,13419000
-493,86767250;4,13419000
-493,78575250;4,13419000
-493,70383250;4,13419000
-493,62191250;4,13419000
-493,53999250;4,08932800
-493,45807250;4,08932800
-493,37615250;4,08932800
-493,29423250;4,08932800
-493,21231250;4,04431300
-493,13039250;4,08932800
-493,04847250;4,04431300
-492,96655251;4,04431300
-492,88463251;4,04431300
-492,80271251;4,04431300
-492,72079251;4,04431300
-492,63887251;4,04431300
-492,55695251;4,04431300
-492,47503251;3,99929800
-492,39311251;3,95443600
-492,31119251;3,95443600
-492,22927251;3,95443600
-492,14735251;3,95443600
-492,06543251;3,95443600
-491,98351251;3,95443600
-491,90159251;3,95443600
-491,81967251;3,95443600
-491,73775251;3,95443600
-491,65583251;3,95443600
-491,57391251;3,90942100
-491,49199251;3,90942100
-491,41007251;3,90942100
-491,32815252;3,86455900
-491,24623252;3,86455900
-491,16431252;3,86455900
-491,08239252;3,86455900
-491,00047252;3,86455900
-490,91855252;3,90942100
-490,83663252;3,90942100
-490,75471252;3,90942100
-490,67279252;3,95443600
