Tiempo;average(B);average(A)
(ms);(V);(V)

-25,00299074;-0,00469802;-0,00404102
-24,99275074;-0,00459216;0,00031682
-24,98251074;-0,00441484;0,00457817
-24,97227074;-0,00399439;0,00905511
-24,96203074;-0,00270107;0,01350472
-24,95179074;0,00010550;0,01775355
-24,94155074;0,00381557;0,02205281
-24,93131074;0,00562951;0,02696718
-24,92107074;0,00539228;0,03207617
-24,91083074;0,00519242;0,03637383
-24,90059074;0,00534878;0,04075141
-24,89035074;0,00545138;0,04524286
-24,88011074;0,00547880;0,04972919
-24,86987074;0,00552152;0,05420414
-24,85963074;0,00555240;0,05847203
-24,84939074;0,00559888;0,06314227
-24,83915074;0,00564081;0,06765419
-24,82891074;0,00566229;0,07181337
-24,81867074;0,00569347;0,07623387
-24,80843074;0,00571522;0,08052035
-24,79819074;0,00573027;0,08500047
-24,78795074;0,00576762;0,08947442
-24,77771074;0,00577459;0,09311654
-24,76747074;0,00578266;0,09748338
-24,75723074;0,00580360;0,10239630
-24,74699074;0,00584309;0,10648020
-24,73675074;0,00585224;0,11060730
-24,72651074;0,00585786;0,11514390
-24,71627074;0,00585600;0,11974790
-24,70603074;0,00588231;0,12408350
-24,69579074;0,00588823;0,12822410
-24,68555074;0,00589363;0,13280950
-24,67531074;0,00591294;0,13704080
-24,66507074;0,00593176;0,14141140
-24,65483074;0,00595861;0,14539050
-24,64459074;0,00595055;0,14985900
-24,63435074;0,00595539;0,15407150
-24,62411074;0,00595674;0,15828420
-24,61387074;0,00597581;0,16187580
-24,60363074;0,00598604;0,16587490
-24,59339074;0,00596724;0,17073970
-24,58315074;0,00596885;0,17531790
-24,57291074;0,00599062;0,17929370
-24,56267074;0,00601101;0,18331800
-24,55243074;0,00598146;0,18742110
-24,54219074;0,00600296;0,19114920
-24,53195074;0,00599920;0,19512420
-24,52171074;0,00600591;0,19869530
-24,51147074;0,00601182;0,20269510
-24,50123074;0,00599463;0,20721280
-24,49099074;0,00602095;0,21108430
-24,48075074;0,00601882;0,21485700
-24,47051074;0,00603761;0,21841140
-24,46027074;0,00601989;0,22255160
-24,45003074;0,00602767;0,22631380
-24,43979074;0,00601721;0,23011170
-24,42955074;0,00602392;0,23358590
-24,41931074;0,00602928;0,23728700
-24,40907074;0,00602151;0,24135160
-24,39883074;0,00603521;0,24556260
-24,38859074;0,00604272;0,24908190
-24,37835074;0,00604460;0,25255360
-24,36811074;0,00601181;0,25623020
-24,35787075;0,00602067;0,26044890
-24,34763075;0,00603117;0,26420410
-24,33739075;0,00604244;0,26785090
-24,32715075;0,00602928;0,27086900
-24,31691075;0,00602069;0,27470900
-24,30667075;0,00604701;0,27845290
-24,29643075;0,00603064;0,28176890
-24,28619075;0,00604460;0,28545240
-24,27595075;0,00603117;0,28854890
-24,26571075;0,00601718;0,29210530
-24,25547075;0,00603761;0,29568580
-24,24523075;0,00603306;0,29853250
-24,23499075;0,00603226;0,30225180
-24,22475075;0,00602446;0,30521370
-24,21451075;0,00603144;0,30767090
-24,20427075;0,00602122;0,31092150
-24,19403075;0,00601988;0,31462260
-24,18379075;0,00602552;0,31849960
-24,17355075;0,00602204;0,32172400
-24,16331075;0,00603545;0,32437540
-24,15307075;0,00601800;0,32758260
-24,14283075;0,00602149;0,33118480
-24,13259075;0,00602284;0,33392050
-24,12235075;0,00603116;0,33663210
-24,11211075;0,00601989;0,33979740
-24,10187075;0,00601721;0,34208990
-24,09163075;0,00600053;0,34484460
-24,08139075;0,00600297;0,34789280
-24,07115075;0,00602123;0,35072230
-24,06091075;0,00600404;0,35344670
-24,05067075;0,00600243;0,35649480
-24,04043075;0,00599679;0,35917260
-24,03019075;0,00600672;0,36108120
-24,01995075;0,00599866;0,36368420
-24,00971075;0,00600028;0,36651360
-23,99947075;0,00599489;0,36918390
-23,98923075;0,00601399;0,37148740
-23,97899075;0,00600349;0,37397430
-23,96875075;0,00598523;0,37644340
-23,95851075;0,00598362;0,37845030
-23,94827075;0,00598818;0,38010720
-23,93803075;0,00600163;0,38234750
-23,92779075;0,00599274;0,38494070
-23,91755075;0,00597207;0,38716410
-23,90731075;0,00599034;0,38905450
-23,89707075;0,00598846;0,39171350
-23,88683075;0,00599007;0,39384100
-23,87659075;0,00596426;0,39565700
-23,86635075;0,00598496;0,39710130
-23,85611075;0,00597476;0,39860700
-23,84587075;0,00598818;0,40082560
-23,83563075;0,00596374;0,40351380
-23,82539075;0,00595300;0,40539140
-23,81515075;0,00597530;0,40690370
-23,80491075;0,00596884;0,40861160
-23,79467075;0,00595380;0,41049000
