Tiempo;average(B);average(A)
(ms);(V);(V)

-25,00196070;-0,02556632;-0,00454638
-24,99172070;-0,02516398;-0,00002346
-24,98148070;-0,02463745;0,00398078
-24,97124070;-0,02376476;0,00895125
-24,96100070;-0,01925893;0,01370420
-24,95076070;-0,00391715;0,01745421
-24,94052070;0,01958969;0,02120609
-24,93028070;0,03117424;0,02644252
-24,92004070;0,02933119;0,03167849
-24,90980070;0,02778907;0,03565146
-24,89956070;0,02857898;0,04070213
-24,88932070;0,02904159;0,04497082
-24,87908070;0,02899645;0,04938904
-24,86884070;0,02915066;0,05388241
-24,85860070;0,02922967;0,05781880
-24,84836070;0,02936127;0,06264669
-24,83812070;0,02944404;0,06710192
-24,82788070;0,02956440;0,07167125
-24,81764070;0,02964714;0,07560842
-24,80740070;0,02970358;0,08062121
-24,79716070;0,02969226;0,08474302
-24,78692070;0,02978256;0,08897654
-24,77668070;0,02983891;0,09257542
-24,76644070;0,02990291;0,09732276
-24,75620070;0,02991414;0,10203850
-24,74596070;0,02998187;0,10641930
-24,73572070;0,02999321;0,11035580
-24,72548070;0,03008722;0,11455280
-24,71524070;0,03004206;0,11938120
-24,70500070;0,03011356;0,12365130
-24,69476070;0,03013230;0,12762540
-24,68452070;0,03019253;0,13237900
-24,67428070;0,03021133;0,13609320
-24,66404070;0,03024518;0,14155190
-24,65380070;0,03030162;0,14511450
-24,64356070;0,03031292;0,14908780
-24,63332070;0,03033926;0,15380330
-24,62308070;0,03033550;0,15807360
-24,61284070;0,03033923;0,16152810
-24,60260070;0,03034300;0,16498000
-24,59236070;0,03041069;0,17047570
-24,58212070;0,03046711;0,17526740
-24,57188070;0,03044077;0,17913080
-24,56164070;0,03042199;0,18269580
-24,55140070;0,03040313;0,18726310
-24,54116070;0,03044082;0,19026890
-24,53092070;0,03044076;0,19501530
-24,52068070;0,03044457;0,19820640
-24,51044070;0,03042571;0,20218140
-24,50020070;0,03050849;0,20637770
-24,48996070;0,03045578;0,21064910
-24,47972070;0,03047464;0,21462070
-24,46948070;0,03047841;0,21781520
-24,45924070;0,03046336;0,22234590
-24,44900070;0,03048215;0,22572690
-24,43876070;0,03044835;0,22984930
-24,42852070;0,03051976;0,23326410
-24,41828070;0,03044457;0,23638450
-24,40804070;0,03044456;0,24098800
-24,39780070;0,03044083;0,24488430
-24,38756070;0,03043699;0,24900500
-24,37732070;0,03049719;0,25175460
-24,36708070;0,03053477;0,25550530
-24,35684070;0,03045207;0,25970220
-24,34660070;0,03048966;0,26341470
-24,33636070;0,03049345;0,26776040
-24,32612070;0,03043329;0,27028520
-24,31588070;0,03052726;0,27355240
-24,30564070;0,03047087;0,27749010
-24,29540070;0,03047842;0,28116610
-24,28516070;0,03048593;0,28476810
-24,27492070;0,03046711;0,28762920
-24,26468070;0,03042201;0,29096670
-24,25444070;0,03045584;0,29489770
-24,24420070;0,03050096;0,29809080
-24,23396070;0,03045583;0,30109950
-24,22372070;0,03044449;0,30451460
-24,21348070;0,03044452;0,30700360
-24,20324070;0,03045204;0,31012380
-24,19300070;0,03045579;0,31335370
-24,18276070;0,03039560;0,31747710
-24,17252070;0,03039561;0,32089270
-24,16228070;0,03047458;0,32349150
-24,15204070;0,03043702;0,32627710
-24,14180070;0,03046707;0,33006540
-24,13156070;0,03041822;0,33243920
-24,12132070;0,03041070;0,33555600
-24,11108070;0,03045579;0,33871280
-24,10084070;0,03051229;0,34097930
-24,09060070;0,03039937;0,34324380
-24,08036070;0,03039191;0,34651180
-24,07012070;0,03042195;0,34937250
-24,05988070;0,03042574;0,35197110
-24,04964070;0,03042199;0,35516370
-24,03940070;0,03040691;0,35743100
-24,02916070;0,03042575;0,35947430
-24,01892070;0,03042565;0,36151630
-24,00868070;0,03037309;0,36497060
-23,99844070;0,03038818;0,36757000
-23,98820070;0,03036177;0,36931510
-23,97796070;0,03042953;0,37209810
-23,96772070;0,03039563;0,37514440
-23,95748070;0,03036170;0,37670600
-23,94724070;0,03034670;0,37785680
-23,93700070;0,03041446;0,38019250
-23,92676070;0,03035800;0,38301040
-23,91652070;0,03035427;0,38542080
-23,90628070;0,03035046;0,38724060
-23,89604071;0,03029032;0,38895000
-23,88580071;0,03033923;0,39140170
-23,87556071;0,03035053;0,39325730
-23,86532071;0,03032039;0,39485260
-23,85508071;0,03030918;0,39581810
-23,84484071;0,03035043;0,39801060
-23,83460071;0,03030540;0,40101820
-23,82436071;0,03028652;0,40298590
-23,81412071;0,03033544;0,40417350
-23,80388071;0,03029032;0,40558570
-23,79364071;0,03033550;0,40785240
