Tiempo;average(B);average(A)
(ms);(V);(V)

-25,00908449;-0,27646130;-0,01507947
-24,99884449;-0,26889260;-0,00874220
-24,98860449;-0,26064560;-0,00405606
-24,97836449;-0,25049410;-0,00247428
-24,96812449;-0,23988180;0,00087486
-24,95788449;-0,22812810;0,00769877
-24,94764449;-0,21486820;0,01318505
-24,93740449;-0,19936260;0,01544239
-24,92716449;-0,17758200;0,01879942
-24,91692449;-0,14478670;0,02478103
-24,90668449;-0,08805545;0,02972502
-24,89644449;0,00149696;0,03271581
-24,88620449;0,10962870;0,03405865
-24,87596449;0,20241490;0,03949096
-24,86572449;0,25197770;0,04535048
-24,85548449;0,26680710;0,04986720
-24,84524449;0,27360620;0,05450603
-24,83500449;0,28400300;0,06006044
-24,82476449;0,29495510;0,06591997
-24,81452449;0,30387870;0,06860553
-24,80428449;0,31117080;0,07092370
-24,79404449;0,31870670;0,07647086
-24,78380449;0,32605930;0,08286716
-24,77356449;0,33322770;0,08670488
-24,76332449;0,33932090;0,09012125
-24,75308449;0,34445940;0,09555350
-24,74284449;0,34978100;0,10061950
-24,73260449;0,35479510;0,10379340
-24,72236449;0,35943970;0,10574660
-24,71212449;0,36319080;0,11130100
-24,70188449;0,36685130;0,11697760
-24,69164449;0,36996070;0,12155530
-24,68140449;0,37371520;0,12466820
-24,67116449;0,37626970;0,12894070
-24,66092450;0,37848650;0,13437280
-24,65068450;0,38091680;0,13937780
-24,64044450;0,38316070;0,14090380
-24,63020450;0,38497510;0,14450500
-24,61996450;0,38706610;0,15024260
-24,60972450;0,38943550;0,15677380
-24,59948450;0,39162090;0,15915120
-24,58924450;0,39334380;0,16213290
-24,57900450;0,39509680;0,16804120
-24,56876450;0,39632600;0,17328570
-24,55852450;0,39749370;0,17578690
-24,54828450;0,39881570;0,17804530
-24,53804450;0,39998410;0,18305020
-24,52780450;0,40115280;0,18921480
-24,51756450;0,40207590;0,19293800
-24,50732450;0,40312280;0,19629500
-24,49708450;0,40441550;0,20044540
-24,48684450;0,40512420;0,20618280
-24,47660450;0,40641730;0,21021130
-24,46636450;0,40734040;0,21234750
-24,45612450;0,40810980;0,21625410
-24,44588450;0,40891000;0,22101520
-24,43564450;0,40958650;0,22742420
-24,42540450;0,41050980;0,23065890
-24,41516450;0,41103300;0,23450250
-24,40492450;0,41155560;0,23962240
-24,39468450;0,41244830;0,24522450
-24,38444450;0,41291070;0,24772010
-24,37420450;0,41361880;0,24997730
-24,36396450;0,41392710;0,25412770
-24,35372450;0,41451140;0,26090260
-24,34348450;0,41506610;0,26474780
-24,33324450;0,41561920;0,26810490
-24,32300450;0,41592730;0,27207230
-24,31276450;0,41614250;0,27756560
-24,30252450;0,41697280;0,28244870
-24,29228450;0,41709590;0,28397470
-24,28204450;0,41767990;0,28720980
-24,27180450;0,41817190;0,29459520
-24,26156450;0,41841740;0,29984420
-24,25132450;0,41884800;0,30222470
-24,24108450;0,41903220;0,30460490
-24,23084450;0,41924770;0,30851130
-24,22060450;0,41973970;0,31437090
-24,21036450;0,41980070;0,31888830
-24,20012450;0,42004660;0,32047240
-24,18988450;0,42029260;0,32272420
-24,17964450;0,42050810;0,32869240
-24,16940450;0,42075370;0,33369200
-24,15916450;0,42069230;0,33753510
-24,14892450;0,42121500;0,34223520
-24,13868450;0,42121440;0,34736220
-24,12844450;0,42164550;0,35242820
-24,11820450;0,42183040;0,35529700
-24,10796450;0,42201490;0,35621240
-24,09772450;0,42198440;0,36072910
-24,08748450;0,42235350;0,36805330
-24,07724450;0,42266110;0,37195980
-24,06700450;0,42303020;0,37391290
-24,05676450;0,42296860;0,37635430
-24,04652450;0,42339920;0,38142030
-24,03628450;0,42333780;0,38624200
-24,02604450;0,42346080;0,39033170
-24,01580450;0,42383060;0,39210140
-24,00556450;0,42410710;0,39441980
-23,99532450;0,42398430;0,39984650
-23,98508450;0,42410730;0,40453630
-23,97484450;0,42438370;0,40892000
-23,96460450;0,42453780;0,41117610
-23,95436450;0,42453800;0,41532610
-23,94412450;0,42462990;0,42081930
-23,93388450;0,42493820;0,42515270
-23,92364450;0,42543050;0,42673970
-23,91340450;0,42521490;0,42875390
-23,90316450;0,42576910;0,43284350
-23,89292450;0,42552240;0,43809320
-23,88268450;0,42586140;0,44407560
-23,87244450;0,42573800;0,44535730
-23,86220450;0,42586130;0,44804310
-23,85196450;0,42570720;0,45286480
-23,84172450;0,42613830;0,45817510
-23,83148450;0,42641500;0,46134870
-23,82124450;0,42647660;0,46318000
-23,81100450;0,42641510;0,46501110
-23,80076450;0,42659970;0,46910040
