Tiempo;average(A);average(B)
(ms);(V);(V)

-25,00170365;-0,00931920;-1,33856900
-24,99146365;-0,00505070;-1,33544400
-24,98122365;-0,00277375;-1,33325600
-24,97098365;0,00132361;-1,33263100
-24,96074365;0,00739656;-1,33106800
-24,95050365;0,01262912;-1,32747400
-24,94026365;0,01559286;-1,32653600
-24,93002365;0,01935440;-1,32434800
-24,91978365;0,02454599;-1,32153500
-24,90954365;0,02973778;-1,32012900
-24,89930365;0,03250165;-1,31747200
-24,88906365;0,03477598;-1,31465900
-24,87882365;0,03958339;-1,31231500
-24,86858365;0,04565759;-1,31122100
-24,85834365;0,05045546;-1,30825100
-24,84810365;0,05481209;-1,30715700
-24,83786365;0,06102100;-1,30418900
-24,82762365;0,06564691;-1,30028100
-24,81738365;0,06842995;-1,29887500
-24,80714365;0,07145011;-1,29621900
-24,79690365;0,07715148;-1,29293700
-24,78666365;0,08313754;-1,29106100
-24,77642365;0,08651840;-1,28840500
-24,76618365;0,09025897;-1,28496700
-24,75594365;0,09530634;-1,28184100
-24,74570365;0,10061280;-1,27793500
-24,73546365;0,10402880;-1,27152700
-24,72522365;0,10637020;-1,26808900
-24,71498366;0,11110090;-1,26386900
-24,70474366;0,11689680;-1,25558700
-24,69450366;0,12119580;-1,24902300
-24,68426366;0,12491980;-1,23824000
-24,67402366;0,12940240;-1,22698800
-24,66378366;0,13499800;-1,21120500
-24,65354366;0,13851990;-1,19010800
-24,64330366;0,14118720;-1,16213400
-24,63306366;0,14483380;-1,12774900
-24,62282366;0,15109010;-1,08225200
-24,61258366;0,15639620;-1,02612000
-24,60234366;0,15921380;-0,96125920
-24,59210366;0,16292690;-0,88843330
-24,58186366;0,16752380;-0,81201430
-24,57162366;0,17278580;-0,72575040
-24,56138366;0,17573040;-0,62104540
-24,55114366;0,17787940;-0,49571230
-24,54090366;0,18226500;-0,35693930
-24,53066366;0,18759070;-0,21160280
-24,52042366;0,19232160;-0,06454718
-24,51018366;0,19564190;0,08078935
-24,49994366;0,19988320;0,22175020
-24,48970366;0,20518960;0,35849170
-24,47946366;0,20953630;0,49070100
-24,46922366;0,21203130;0,61665930
-24,45898366;0,21486230;0,73652290
-24,44874366;0,22037980;0,85279210
-24,43850366;0,22599310;0,96281030
-24,42826366;0,22997560;1,07001700
-24,41802366;0,23344770;1,17520900
-24,40778366;0,23853640;1,27540800
-24,39754366;0,24379410;1,36387400
-24,38730366;0,24703800;1,42388600
-24,37706366;0,24955080;1,44904700
-24,36682366;0,25326610;1,45279700
-24,35658366;0,25893010;1,45514100
-24,34634366;0,26380610;1,46014200
-24,33610366;0,26716460;1,46420500
-24,32586366;0,27079230;1,46608100
-24,31562366;0,27613750;1,46967500
-24,30538366;0,28068560;1,47217500
-24,29514366;0,28363130;1,47405000
-24,28490366;0,28632760;1,47608200
-24,27466366;0,29203710;1,47826900
-24,26442366;0,29786160;1,48092600
-24,25418366;0,30118190;1,48170700
-24,24394366;0,30367650;1,48280200
-24,23370366;0,30794630;1,48467700
-24,22346366;0,31315720;1,48624000
-24,21322366;0,31717800;1,48686500
-24,20298366;0,31973840;1,49092700
-24,19274366;0,32180570;1,48983300
-24,18250366;0,32619000;1,49170900
-24,17226366;0,33212970;1,49280300
-24,16202366;0,33639690;1,49499100
-24,15178366;0,34078110;1,49561600
-24,14154366;0,34530120;1,49655400
-24,13130366;0,35070350;1,49811600
-24,12106366;0,35405260;1,49889800
-24,11082366;0,35620180;1,49983600
-24,10058366;0,35934930;1,49999100
-24,09034366;0,36515420;1,50186700
-24,08010366;0,37046100;1,50217900
-24,06986366;0,37340710;1,50343000
-24,05962366;0,37619980;1,50405500
-24,04938366;0,37992310;1,50499200
-24,03914366;0,38491350;1,50546100
-24,02890366;0,38897210;1,50702300
-24,01866366;0,39133260;1,50686700
-24,00842366;0,39387490;1,50780500
-23,99818366;0,39773850;1,50718000
-23,98794366;0,40332340;1,50921100
-23,97770366;0,40747770;1,50921100
-23,96746366;0,41027440;1,51108700
-23,95722366;0,41381380;1,51093000
-23,94698366;0,41872720;1,51061800
-23,93674366;0,42348670;1,51280600
-23,92650366;0,42635560;1,51405600
-23,91626366;0,42792900;1,51358700
-23,90602366;0,43137410;1,51499300
-23,89578366;0,43681520;1,51499300
-23,88554366;0,44235210;1,51515000
-23,87530366;0,44499080;1,51671200
-23,86506366;0,44732260;1,51749400
-23,85482366;0,45090160;1,51811900
-23,84458366;0,45596830;1,51780600
-23,83434366;0,46020950;1,51749400
-23,82410366;0,46256070;1,51936900
-23,81386366;0,46417280;1,51905700
